   ,ΤΙΤΛΟΣ,ΣΗΜΑ,ΠΕΡΙΦΕΡΕΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ_ΕΝΟΤΗΤΑ,ΤΥΠΟΣ,ΤΑΞΗ,ΔΙΕΥΘΥΝΣΗ,ΤΚ,ΔΗΜΟΣ,ΔΗΜΟΤΙΚΗ_ΕΝΟΤΗΤΑ,EMAIL,ΤΗΛΕΦΩΝΟ,ΕΠΙΧΕΙΡΗΜΑΤΙΑΣ,ΙΔΙΟΚΤΗΤΗΣ,ΕΤΟΣ_ΠΡΩΤΗΣ_ΛΕΙΤΟΥΡΓΙΑΣ,ΣΥΝΟΛΟ ΚΛΙΝΩΝ,ΣΥΝΟΛΟ ΔΩΜΑΤΙΩΝ
3958,ΠΡΑΣΙΝΟΣ ΚΟΛΠΟΣ,0458Κ012Α0035401,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΚΑΡΑΒΟΜΥΛΟΣΣΑΜΗΣ,28080,ΚΕΦΑΛΟΝΙΑΣ,ΣΑΜΗΣ,,2674022229,ΚΥΡΙΑΚΑΤΟΣ Α.Ε.,ΚΥΡΙΑΚΑΤΟΣ Α.Ε.,2004,64,32
3959,ΣΚΑΛΑ,0458Κ012Α0083100,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΣΚΑΛΑ ΚΕΦ/ΝΙΑΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,,26710 83225,ΖΑΠΑΝΤΗ ΠΑΡΑΣΚΕΥΗ,ΠΑΝΑΓΗΣ ΖΑΠΑΝΤΗΣ,1981,28,15
3960,ΤΟ ΣΠΙΤΙ ΤΟΥ ΚΑΠΕΤΑΝΙΟΥ,0458Κ012Α0083200,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΣΚΑΛΑ ΚΕΦ/ΝΙΑΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,,26710 83388,ΚΑΠΤΑΙΝ ΑΝΩΝ.ΤΟΥΕ.κ ΞΕΝ.ΕΤΑΙΡΕΙΑ ΑΕ,ΚΑΠΤΑΙΝΣ ΑΝΩΝ.ΤΟΥΡ.κ ΞΕΝ.ΕΤΑΙΡΕΙΑ ΑΕ,1988,58,28
3961,ΤΟΥΡΙΣΤ,0458Κ012Α0075700,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΑΝΤΩΝΗ ΤΡΙΤΣΗ 109ΑΡΓΟΣΤΟΛΙΟΥ,281 00,ΚΕΦΑΛΟΝΙΑΣ,ΑΡΓΟΣΤΟΛΙΟΥ,htourist@hol.gr,26710 22510,Κ. ΧΑΡΙΤΟΥ & ΣΙΑ  Ε.Ε.,"ΔΙΟΝΥΣΙΟΣ ΒΑΣΙΛΑΤΟΣ, ΓΕΩΡΓΙΟΣ ΣΟΥΡΗΣ & ΑΝΔΡΟΝΙΚΗ ΣΟΥΡΗ",1960,38,22
3962,ΦΙΛΟΞΕΝΟΣ,0458Κ012Α0119701,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΚΑΤΕΛΕΙΟΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,28082,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,,2671081655,ΠΑΠΑΔΑΤΟΣ ΗΛΙΑΣ ΠΑΠΑΔΑΤΟΣ ΕΠΙΜ. Ο.Ε.,ΗΛ. & ΕΠΙΜ. ΠΑΠΑΔΑΤΟΣ,2006,41,19
3963,"""ΧΩΡΙΟ ΛΙΒΑΔΑΚΙ - LIVADAKI VILLAGE""",0458Κ012Α0118801,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΣΚΑΛΑΕΛΕΙΟΥ - ΠΡΟΝΩΝ,28082,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,,2671083341,ΚΑΠΠΑΤΟΣ ΝΙΚΟΛΑΟΣ-ΣΟΦΙΑ-ΙΩΑΝΝΗΣ-ΓΕΩΡΓΙΟΣ ΚΑΔ,ΚΑΠΠΑΤΟΣ ΝΙΚΟΛΑΟΣ ΚΑΙ ΣΟΦΙΑ,2011,66,32
3964,ΧΩΡΙΟ ΜΟΥΪΚΗΣ,0458Κ012Α0032101,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΛΑΚΥΘΡΑ ΚΕΦΑΛΛΗΝΙΑΣΛΕΙΒΑΘΟΥΣ,28100,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,2671023032,ΜΟΥΪΚΗΣ Α.Ε.,ΜΟΥϊΚΗΣ Α.Ε.,2005,91,39
3965,ΩΚΕΑΝΙΣ-OCEANIC.,0458Κ012Α0078000,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Κλασικού Τύπου,2Α,ΠΟΡΟΣ ΚΕΦΑΛΛΗΝΙΑΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,,26740 72520,ΕΠΕ ΣΙΜΩΤΑΣ ΠΑΝΑΓΗΣ κ ΣΙΑ,ΕΠΕ ΣΙΜΩΤΑΣ ΠΑΝΑΓΗΣ κ ΣΙΑ,1992,30,16
3966,SILO APARTMENTS-THALASSA,0458Κ032Α0030901,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΛΑΣΗ ΚΕΦΑΛΛΗΝΙΑΣΑΡΓΟΣΤΟΛΙΟΥ,28100,ΚΕΦΑΛΟΝΙΑΣ,ΑΡΓΟΣΤΟΛΙΟΥ,,2671024566,ΚΑΛΑΦΑΤΗΣ ΑΛΕΞΑΝΔΡΟΣ&ΙΩΑΝΝΗΣ,ΚΑΛΑΦΑΤΗΣ ΑΛΕΞΑΝΔΡΟΣ&ΙΩΑΝΝΗΣ,2003,100,50
3967,ΑΙΜΙΛΙΑ,0458Κ032Α0031601,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΑΓ.ΔΗΜΗΤΡΙΟΣ ΛΕΙΒΑΘΟΥΣΛΕΙΒΑΘΟΥΣ,28083,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,2671031005,ΧΡΗΣΤΑΤΟΥ ΑΙΜΙΛΙΑ,ΧΡΗΣΤΑΤΟΥ ΑΙΜΙΛΙΑ,2003,8,3
3968,ΑΚΤΗ ΜΑΡΙΝΑ,0458Κ032Α0109601,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΣΚΑΛΑΕΛΕΙΟΥ - ΠΡΟΝΩΝ,28082,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,,2671083592,ΒΑΣΙΛΑΤΟΥ ΜΑΡΙΝΑ,ΒΑΣΙΛΑΤΟΥ ΜΑΡΙΝΑ,,54,27
3969,ΑΛΕΞΑΝΝΑ,0458Κ032Α0080200,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΜΑΤΣΟΥΚΑΤΑΕΡΙΣΟΥ,280 64,ΚΕΦΑΛΟΝΙΑΣ,ΕΡΙΣΟΥ,,26740 41293,ΑΝΑΣΤΑΣΙΟΣ ΜΑΤΣΟΥΚΗΣ,ΑΝΑΣΤΑΣΙΟΣ ΜΑΤΣΟΥΚΗΣ,1997,25,8
3970,ΑΜΜΟΥΣΑ,0458Κ032Α0076000,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,21ης ΜΑΡΤΙΟΥ 32ΠΑΛΙΚΗΣ,282 00,ΚΕΦΑΛΟΝΙΑΣ,ΠΑΛΙΚΗΣ,,26710-94354,ΑΜΜΟΥΣΑ ΑΕΞΤΕ,ΑΜΜΟΥΣΑ ΑΕΞΤΕ,1995,46,19
3971,ΑΝΑΣΤΑΣΗΣ,0458Κ032Α0081200,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΑΓΙΟΣ ΔΗΜΗΤΡΙΟΣΛΕΙΒΑΘΟΥΣ,280 83,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,26710 31269,ΜΙΝΕΤΟΣ ΠΑΝ. ΓΕΡΑΣΙΜΟΣ,ΜΙΝΕΤΟΣ ΠΑΝ. ΓΕΡΑΣΙΜΟΣ,1999,11,5
3972,ΑΦΡΟΔΙΤΗ-AFRODITE.,0458Κ032Α0079400,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΑΓ.ΕΥΦΗΜΙΑ ΚΕΦ/ΝΙΑΣΠΥΛΑΡΕΩΝ,281 00,ΚΕΦΑΛΟΝΙΑΣ,ΠΥΛΑΡΕΩΝ,,26740 61113,ΑΜΙΤΣΗ ΑΦΡΟΔΙΤΗ ΤΟΥ ΕΥΑΓΓΕΛΟΥ,"ΑΜΙΤΣΗ ΑΦΡ.,ΑΛΕΞΑΝΔΡΟΠΟΥΛΟΥ ΑΝΔΡ.,ΠΑΝΑΓΟΠΟΥΛΟΥ ΑΣ.",1992,30,13
3973,ΒΙΛΛΑ ΧΑΡΑ.,0458Κ032Α0083900,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΑΝΤΙΠΑΤΑ ΕΡΙΣΟΥΕΡΙΣΟΥ,280 84,ΚΕΦΑΛΟΝΙΑΣ,ΕΡΙΣΟΥ,,26740 51343,ΚΑΤΩΠΟΔΗΣ ΠΑΝΑΓΙΩΤΗΣ,ΚΑΤΩΠΟΔΗΣ ΠΑΝΑΓΙΩΤΗΣ,1993,34,8
3974,ΔΑΦΝΟΥΔΙ,0458Κ032Α0084000,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΑΝΤΥΠΑΤΑ ΕΡΥΣΣΟΥΕΡΙΣΟΥ,280 84,ΚΕΦΑΛΟΝΙΑΣ,ΕΡΙΣΟΥ,,26740 41279,ΣΠΥΡΟΣ ΠΟΔΑΡΑΣ - ΧΡΗΣΤΟΣ ΒΡΥΩΝΗΣ,ΣΠΥΡΟΣ ΠΟΔΑΡΑΣ - ΧΡΗΣΤΟΣ ΒΡΥΩΝΗΣ Ο.Ε.,1995,30,12
3975,ΕΛΕΑΝΝΑ,0458Κ032Α0031701,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΚΑΡΑΒΟΜΥΛΟΣ ΣΑΜΗΣΣΑΜΗΣ,28080,ΚΕΦΑΛΟΝΙΑΣ,ΣΑΜΗΣ,,2674023298,ΔΑΝΑΛΗΣ Ν.ΘΩΜΑΣ,ΔΑΝΑΛΗΣ Ν. ΘΩΜΑΣ,2003,10,4
3976,ΕΛΕΝΗ,0458Κ032Α0081300,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΒΛΑΧΑΤΑ ΚΕΦ/ΝΙΑΣΛΕΙΒΑΘΟΥΣ,280 83,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,26710 31282,ΜΙΝΕΤΟΣ Π. ΚΩΝ/ΝΟΣ,ΜΙΝΕΤΟΣ Π. ΚΩΝ/ΝΟΣ,1999,20,10
3977,ΕΛΕΝΗ ΙΙΙ,0458Κ032Α0081400,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΒΛΑΧΑΤΑΛΕΙΒΑΘΟΥΣ,280 83,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,26710 31253,ΜΙΝΕΤΟΣ ΑΓΑΘΑΓΓΕΛΟΣ,ΜΙΝΕΤΟΣ ΑΓΑΘΑΓΓΕΛΟΣ,2001,28,14
3978,ΕΥΡΩΠΗ,0458Κ032Α0073600,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΠΛ.ΚΑΒΒΑΔΙΑ 2ΑΡΓΟΣΤΟΛΙΟΥ,281 00,ΚΕΦΑΛΟΝΙΑΣ,ΑΡΓΟΣΤΟΛΙΟΥ,,26710 22088,ΑΕ ΞΕΝ/ΚΕΣ κ ΤΟΥΡ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΑΣΚΗΤΗΣ.,ΑΕ ΞΕΝ/ΚΕΣ κ ΤΟΥΡ/ΚΕΣ ΕΠΙΧ/ΣΕΙΣ ΑΣΚΗΤΗΣ.,1992,30,13
3979,ΚΑΛΟΚΑΙΡΙ-KALOKERI,0458Κ032Α0111901,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΦΙΣΚΑΡΔΟΕΡΙΣΟΥ,28084,ΚΕΦΑΛΟΝΙΑΣ,ΕΡΙΣΟΥ,,2674041444,ΚΑΛΟΚΑΙΡΙ ΑΝΩΝ. ΞΕΝ. ΕΜΠ.& ΤΕΧΝ. ΕΤΑΙΡΕΙΑ,ΜΑΤΣΟΥΚΗΣ ΑΝΑΣΤΑΣΙΟΣ & ΤΣΕΛΕΝΤΗΣ ΓΕΡΑΣΙΜΟΣ,2009,48,17
3980,ΚΑΜΙΝΑΚΙΑ,0458Κ030Γ0080400,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΠΑΝΟΡΜΟΥ 115ΕΡΙΣΟΥ,280 84,ΚΕΦΑΛΟΝΙΑΣ,ΕΡΙΣΟΥ,,26740 41218,ΔΗΜΗΤΡΙΟΣ ΣΠ.ΤΟΥΛΙΑΤΟΣ,ΔΗΜΗΤΡΙΟΣ ΣΠ.ΤΟΥΛΙΑΤΟΣ,1989,31,12
3981,ΚΡΙΣΤΙ,0458Κ032Α0077200,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΠΟΡΟΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,,26740 72255,ΑΕ ΗΛΙΑΣ ΑΝΔΡΕΟΛΑΣ ΞΕΝ.ΤΟΥΡ.ΕΠΙΧ/ΣΕΙΣ ΚΡΙΣΤΙ,ΑΕ ΗΛΙΑΣ ΑΝΔΡΕΟΛΑΣ ΞΕΝ.ΤΟΥΡ.ΕΠΙΧ/ΣΕΙΣ ΚΡΙΣΤΙ,1993,42,17
3982,ΛΑΖΑΡΑΤΟΣ,0458Κ032Α0004901,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΒΑΡΙΚΟ ΛΗΞΟΥΡΙΟΥΠΑΛΙΚΗΣ,282 00,ΚΕΦΑΛΟΝΙΑΣ,ΠΑΛΙΚΗΣ,info@lazaratoshotel.gr,26710/93242,ΛΑΖΑΡΑΤΟΣ  ΧΑΡΑΛΑΜΠΟΣ,ΛΑΖΑΡΑΤΟΣ ΧΑΡΑΛΑΜΠΟΣ,2006,24,10
3983,ΛΟΥΙΖΑ ΑΕ.,0458Κ032Α0077300,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΠΟΡΟΣ ΚΕΦΑΛΛΗΝΙΑΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,,26740 81224,"""ΑΕ ΚΟΚΚΟΣΗΣ Ξ.Τ.Ε """"ΛΟΥΙΖΑ""""""","""ΑΕ ΚΟΚΚΟΣΗΣ Ξ.Τ.Ε """"ΛΟΥΙΖΑ""""""",1991,44,18
3984,ΛΥΓΙΕΣ,0458Κ032Α0081700,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΜΟΥΣΑΤΑΛΕΙΒΑΘΟΥΣ,280 83,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,26710 31314,ΚΑΛΛΙΒΩΚΑ ΣΤΑΜΑΤΙΑ,ΚΑΛΛΙΒΩΚΑ ΣΤΑΜΑΤΙΑ,2001,22,11
3985,ΜΑΚΕΔΟΝΙΑ.-,0458Κ032Α0077400,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΠΟΡΟΣ ΚΕΦΑΛΛΗΝΙΑΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,,26740 72840-2,"ΑΦΟΙ ΜΑΡΑΤΟΥ,ΚΟΙΝΩΝΙΑ ΑΣΤ.ΔΙΚΑΙΟΥ Ξ/ΚΗΣ ΜΟΡΦΗΣ.","ΑΦΟΙ ΜΑΡΑΤΟΥ,ΚΟΙΝΩΝΙΑ ΑΣΤ.ΔΙΚΑΙΟΥ Ξ/ΚΗΣ ΜΟΡΦΗΣ.",1993,67,26
3986,ΜΠΑΥΡΟΝ,0458Κ032Α0074700,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΑΡΓΟΣΤΟΛΙ ΚΕΦ/ΝΙΑΣΑΡΓΟΣΤΟΛΙΟΥ,281 00,ΚΕΦΑΛΟΝΙΑΣ,ΑΡΓΟΣΤΟΛΙΟΥ,,26710 23401,ΞΕΝ.κ ΤΟΥΡ.ΕΠΙΧ.ΓΕΡΑΣΙΜΟΣ ΚΟΛΑΙΤΗΣ ΑΕ,ΞΕΝ.κ ΤΟΥΡ.ΕΠΙΧ.ΓΕΡΑΣΙΜΟΣ ΚΟΛΑΙΤΗΣ ΑΕ,1990,38,17
3987,ΜΠΛΕ ΣΠΙΤΙ - CASA DE BLUE,0458Κ032Α0109301,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΒΛΑΧΑΤΑΛΕΙΒΑΘΟΥΣ,28083,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,2671031616,ΚΟΡΝΕΛΑΤΟΣ ΜΑΡΙΝΟΣ,ΚΟΡΝΕΛΑΤΟΣ ΜΑΡΙΝΟΣ ΤΟΥ ΔΙΟΝΥΣΙΟΥ,2009,32,16
3988,ΜΥΡΤΟΣ,0458Κ032Α0079900,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΔΙΒΑΡΑΤΑ ΠΥΛΑΡΟΥΠΥΛΑΡΕΩΝ,280 81,ΚΕΦΑΛΟΝΙΑΣ,ΠΥΛΑΡΕΩΝ,,26740 61753,ΓΑΣΠΑΡΗΣ ΚΩΝ/ΝΟΣ - ΚΟΥΛΟΥΜΠΗ ΜΑΡΓΑΡΙΤΑ,ΓΑΣΠΑΡΗΣ ΚΩΝ/ΝΟΣ - ΚΟΥΛΟΥΜΠΗ ΜΑΡΓΑΡΙΤΑ,2000,11,5
3989,ΝΑΥΤΙΛΟΣ,0458Κ032Α0000901,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΣΟΥΛΑΡΟΙ  ΛΗΞΟΥΡΙΟΥΠΑΛΙΚΗΣ,282 00,ΚΕΦΑΛΟΝΙΑΣ,ΠΑΛΙΚΗΣ,,26710/93496,ΤΣΙΚΛΗ   ΧΡΥΣΑΝΘΗ,ΤΣΙΚΛΗ  ΧΡΥΣΑΝΘΗ,2005,34,17
3990,ΝΤΑΛΛΑΣ,0458Κ032Α0031401,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΝΤΟΜΑΤΑ ΛΕΙΒΑΘΟΥΣΛΕΙΒΑΘΟΥΣ,28100,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,2671041586,ΝΤΑΛΛΑΣ ΧΡΗΣΤΟΣ,ΝΤΑΛΛΑΣ ΧΡΗΣΤΟΣ,2003,16,8
3991,"""Ο ΚΟΛΠΟΣ ΤΩΝ ΕΛΙΩΝ - OLIVE BAY""",0458Κ032Α0036801,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΑΓ. ΕΥΦΗΜΙΑΠΥΛΑΡΕΩΝ,28081,ΚΕΦΑΛΟΝΙΑΣ,ΠΥΛΑΡΕΩΝ,,2674061035,ΠΑΠΑΔΑΤΟΣ ΚΥΡΙΑΚΟΣ,ΠΑΠΑΔΑΤΟΣ ΚΥΡΙΑΚΟΣ,2007,24,12
3992,Ο ΜΙΚΡΟΣ ΜΟΥ ΛΟΦΟΤΟΠΟΣ - MY LITTLE PLACE ON THE HILL,0458Κ032Α0083300,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,"ΚΟΡΙΑΝΑ - ΛΕΙΒΑΘΟΥΣ,ΛΕΙΒΑΘΟΥΣ",280 83,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,26710 69651,ΞΕΝ/ΚΕΣ & ΤΟΥΡΙΣ/ΚΕΣ ΕΠΙΧ. CEFALONIA SUN ΜΟΝ/ΠΗ ΕΠΕ,ΞΕΝ/ΚΕΣ & ΤΟΥΡΙΣ/ΚΕΣ ΕΠΙΧ. CEFALONIA SUN ΜΟΝ/ΠΗ ΕΠΕ,1993,60,20
3993,ΟΝΕΙΡΟ ΚΑΛΟΚΑΙΡΙΝΟ,0458Κ032Α0031901,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΒΛΑΧΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣΛΕΙΒΑΘΟΥΣ,28100,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,2671031365,ΤΖΙΒΡΑΣ ΓΕΩΡΓΙΟΣ,ΤΖΙΒΡΑ ΠΑΡΑΣΚΕΥΗ,2004,12,6
3994,ΟΝΕΙΡΟ ΚΑΛΟΚΑΙΡΙΝΟ 2,0458Κ032Α0032001,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΒΛΑΧΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣΛΕΙΒΑΘΟΥΣ,28100,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,2671031365,ΤΖΙΒΡΑΣ ΧΡΗΣΤΟΣ,ΤΖΙΒΡΑΣ ΧΡΗΣΤΟΣ,2004,16,8
3995,ΠΟΣΕΙΔΩΝ,0458Κ032Α0083000,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΣΚΑΛΑ ΚΕΦΑΛΛΟΝΙΑΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,,26710 83431-2,Μ. & Β. ΛΙΝΑΡΔΑΤΟΣ - ΖΑΠΑΝΤΗΣ ΞΕΝ. & ΤΟΥΡ. ΕΠΙΧ. ΑΕ,Μ. & Β. ΛΙΝΑΡΔΑΤΟΣ - ΖΑΠΑΝΤΗΣ ΞΕΝ. & ΤΟΥΡ. ΕΠΙΧ. ΑΕ,1995,28,12
3996,ΣΕΙΡΗΝΕΣ,0458Κ032Α0031201,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΒΛΑΧΑΤΑ ΚΕΦΑΛΛΗΝΙΑΣΛΕΙΒΑΘΟΥΣ,28083,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,2671026278,ΤΖΙΒΡΑΣ ΓΕΩΡΓΙΟΣ,ΤΖΙΒΡΑ-ΜΙΝΕΤΟΥ ΕΛΕΝΗ,2002,23,11
3997,ΣΟΦΙ,0458Κ032Α0025901,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α, ΛΗΞΟΥΡΙΠΑΛΙΚΗΣ,282 00,ΚΕΦΑΛΟΝΙΑΣ,ΠΑΛΙΚΗΣ,,26710/93977,ΛΙΑΤΟΥ - ΛΟΥΚΕΡΗ ΜΑΡΙΑ,ΛΙΑΤΟΥ - ΛΟΥΚΕΡΗ ΜΑΡΙΑ,2007,12,4
3998,ΣΩΤΗΡΗΣ - SOTIRIS,0458Κ032Α0118201,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΣΒΟΡΩΝΑΤΑΛΕΙΒΑΘΟΥΣ,28100,ΚΕΦΑΛΟΝΙΑΣ,ΛΕΙΒΑΘΟΥΣ,,2671041861,ΦΡΑΓΚΙΑΣ ΣΩΤΗΡΗΣ,ΦΡΑΓΚΙΑΣ ΣΩΤΗΡΗΣ ΚΑΙ ΜΑΡΙΑ,2010,79,35
3999,ΦΙΛΟΞΕΝΙΑ,0458Κ032Α0077900,Δυτικής Ελλάδας,Κεφαλληνίας,Ξενοδοχείο Τύπου Επιπλωμένων Διαμερισμάτων,2Α,ΠΟΡΟΣ ΚΕΦΑΛΛΗΝΙΑΣΕΛΕΙΟΥ - ΠΡΟΝΩΝ,280 82,ΚΕΦΑΛΟΝΙΑΣ,ΕΛΕΙΟΥ - ΠΡΟΝΩΝ,,26740 72926-7,ΑΕ ΞΕΝ/ΚΕΣ κ ΕΜΠΟΡ ΕΠΙΧ/ΣΕΙΣ ΚΟΥΡΟΥΚΛΗ,ΑΕ ΞΕΝ/ΚΕΣ κ ΕΜΠΟΡ ΕΠΙΧ/ΣΕΙΣ ΚΟΥΡΟΥΚΛΗ,1998,32,14
